"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 26 15:55:25 BRST 2020","Thu Nov 26 15:55:39 BRST 2020","14065","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[C-0.1-0.0]",""
"passed","Thu Nov 26 16:00:31 BRST 2020","Thu Nov 26 16:00:40 BRST 2020","9445","TDD1_SynchronizationAlgorithms","test_2_current_ref","","","","test_current_ref[1.6]",""
"passed","Thu Nov 26 15:59:25 BRST 2020","Thu Nov 26 15:59:39 BRST 2020","14084","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[E-1.2-90.0]",""
"passed","Thu Nov 26 15:51:56 BRST 2020","Thu Nov 26 15:52:09 BRST 2020","13384","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[A-0.6499999999999999-90.0]",""
"passed","Thu Nov 26 15:53:55 BRST 2020","Thu Nov 26 15:54:09 BRST 2020","13642","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[B-0.6499999999999999-0.0]",""
"passed","Thu Nov 26 15:55:56 BRST 2020","Thu Nov 26 15:56:10 BRST 2020","14316","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[C-0.6499999999999999--90.0]",""
"passed","Thu Nov 26 15:57:54 BRST 2020","Thu Nov 26 15:58:08 BRST 2020","14289","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[E-0.1-90.0]",""
"passed","Thu Nov 26 15:59:10 BRST 2020","Thu Nov 26 15:59:24 BRST 2020","14437","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[E-1.2-0.0]",""
"passed","Thu Nov 26 15:55:10 BRST 2020","Thu Nov 26 15:55:24 BRST 2020","14188","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[C-0.1--90.0]",""
"passed","Thu Nov 26 15:52:40 BRST 2020","Thu Nov 26 15:52:55 BRST 2020","14972","TDD1_SynchronizationAlgorithms","test_1_fault","","","","test_fault[A-1.2-90.0]",""
